Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	A69	16-NOV-14 08:56	User Waypoint	N14.84040 W16.53068	51 m				Symbol & Name	Black	Waypoint					11/16/2014 8:56:23 AM 		
Waypoint	A7-RLT	04-NOV-14 08:48	User Waypoint	N14.91795 W16.75837	39 m				Symbol & Name	Black	Triangle, Red					11/4/2014 8:48:00 AM 		
Waypoint	A70-DZR	16-NOV-14 08:59	User Waypoint	N14.83062 W16.52125	39 m				Symbol & Name	Black	Waypoint					11/16/2014 8:59:32 AM 		
Waypoint	A71-VL40	16-NOV-14 09:00	User Waypoint	N14.82970 W16.52068	44 m				Symbol & Name	Black	Flag, Red					11/16/2014 9:00:21 AM 		
Waypoint	A72-FZR	16-NOV-14 09:02	User Waypoint	N14.82599 W16.52017	42 m				Symbol & Name	Black	Flag, Green					11/16/2014 9:02:27 AM 		
Waypoint	A73	16-NOV-14 09:03	User Waypoint	N14.82256 W16.52252	38 m				Symbol & Name	Black	Waypoint					11/16/2014 9:03:38 AM 		
Waypoint	A74	16-NOV-14 09:05	User Waypoint	N14.82109 W16.51744	45 m				Symbol & Name	Black	Waypoint					11/16/2014 9:05:11 AM 		
Waypoint	A75	16-NOV-14 09:10	User Waypoint	N14.81558 W16.51713	41 m				Symbol & Name	Black	Waypoint					11/16/2014 9:10:14 AM 		
Waypoint	A76	16-NOV-14 09:12	User Waypoint	N14.81952 W16.51118	46 m				Symbol & Name	Black	Waypoint					11/16/2014 9:12:46 AM 		
Waypoint	A77-DHP	16-NOV-14 09:15	User Waypoint	N14.81684 W16.50667	37 m				Symbol & Name	Black	Waypoint					11/16/2014 9:15:30 AM 		
Waypoint	A78-DANGER	16-NOV-14 09:16	User Waypoint	N14.81698 W16.50430	37 m				Symbol & Name	Black	Triangle, Red					11/16/2014 9:16:42 AM 		
