Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG 003	06/12/2014 11:52:18 	1:07:06	59.4 km	53 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N14.90032 W16.70622	06/12/2014 12:10:22 	32 m			159 m	0:00:08	72 kph	147° true
Trackpoint	N14.89988 W16.70596	06/12/2014 12:10:25 	32 m			56 m	0:00:03	67 kph	150° true
Trackpoint	N14.89924 W16.70534	06/12/2014 12:10:30 	30 m			98 m	0:00:05	70 kph	137° true
Trackpoint	N14.89901 W16.70504	06/12/2014 12:10:32 	31 m			41 m	0:00:02	74 kph	129° true
Trackpoint	N14.89860 W16.70466	06/12/2014 12:10:35 	31 m			62 m	0:00:03	74 kph	138° true
Trackpoint	N14.89801 W16.70413	06/12/2014 12:10:39 	30 m			87 m	0:00:04	78 kph	139° true
Trackpoint	N14.89764 W16.70390	06/12/2014 12:10:41 	29 m			48 m	0:00:02	86 kph	150° true
Trackpoint	N14.89713 W16.70331	06/12/2014 12:10:45 	30 m			86 m	0:00:04	77 kph	132° true
Trackpoint	N14.89701 W16.70308	06/12/2014 12:10:47 	29 m			27 m	0:00:02	49 kph	118° true
Trackpoint	N14.89656 W16.70300	06/12/2014 12:10:52 	30 m			51 m	0:00:05	36 kph	170° true
Trackpoint	N14.89645 W16.70307	06/12/2014 12:10:53 	29 m			14 m	0:00:01	51 kph	212° true
Trackpoint	N14.89589 W16.70341	06/12/2014 12:10:57 	28 m			73 m	0:00:04	66 kph	210° true
Trackpoint	N14.89495 W16.70371	06/12/2014 12:11:02 	26 m			109 m	0:00:05	78 kph	197° true
Trackpoint	N14.89414 W16.70374	06/12/2014 12:11:07 	26 m			91 m	0:00:05	65 kph	182° true
Trackpoint	N14.89356 W16.70349	06/12/2014 12:11:11 	25 m			69 m	0:00:04	62 kph	157° true
Trackpoint	N14.89233 W16.70278	06/12/2014 12:11:19 	22 m			158 m	0:00:08	71 kph	151° true
Trackpoint	N14.89107 W16.70219	06/12/2014 12:11:26 	18 m			154 m	0:00:07	79 kph	155° true
Trackpoint	N14.89089 W16.70208	06/12/2014 12:11:27 	19 m			23 m	0:00:01	83 kph	151° true
Trackpoint	N14.88994 W16.70157	06/12/2014 12:11:32 	19 m			120 m	0:00:05	86 kph	152° true
Trackpoint	N14.88956 W16.70147	06/12/2014 12:11:34 	19 m			43 m	0:00:02	78 kph	165° true
Trackpoint	N14.88889 W16.70116	06/12/2014 12:11:38 	19 m			82 m	0:00:04	74 kph	156° true
Trackpoint	N14.88852 W16.70105	06/12/2014 12:11:40 	19 m			43 m	0:00:02	78 kph	164° true
Trackpoint	N14.88799 W16.70078	06/12/2014 12:11:43 	19 m			65 m	0:00:03	78 kph	154° true
Trackpoint	N14.88669 W16.70048	06/12/2014 12:11:49 	19 m			148 m	0:00:06	89 kph	167° true
Trackpoint	N14.88647 W16.70045	06/12/2014 12:11:50 	19 m			26 m	0:00:01	93 kph	173° true
Trackpoint	N14.88487 W16.70003	06/12/2014 12:11:58 	19 m			183 m	0:00:08	83 kph	166° true
Trackpoint	N14.88454 W16.69986	06/12/2014 12:12:00 	18 m			41 m	0:00:02	74 kph	154° true
Trackpoint	N14.88356 W16.69957	06/12/2014 12:12:05 	19 m			113 m	0:00:05	81 kph	164° true
Trackpoint	N14.88250 W16.69944	06/12/2014 12:12:11 	18 m			119 m	0:00:06	71 kph	173° true
Trackpoint	N14.88184 W16.69884	06/12/2014 12:12:16 	19 m			98 m	0:00:05	71 kph	139° true
Trackpoint	N14.88156 W16.69853	06/12/2014 12:12:18 	19 m			46 m	0:00:02	83 kph	133° true
Trackpoint	N14.88134 W16.69824	06/12/2014 12:12:20 	19 m			40 m	0:00:02	71 kph	128° true
Trackpoint	N14.88087 W16.69799	06/12/2014 12:12:24 	19 m			59 m	0:00:04	53 kph	153° true
Trackpoint	N14.88019 W16.69794	06/12/2014 12:12:28 	21 m			76 m	0:00:04	69 kph	176° true
Trackpoint	N14.87945 W16.69792	06/12/2014 12:12:33 	23 m			82 m	0:00:05	59 kph	178° true
Trackpoint	N14.87866 W16.69764	06/12/2014 12:12:39 	27 m			93 m	0:00:06	56 kph	161° true
Trackpoint	N14.87857 W16.69741	06/12/2014 12:12:43 	28 m			28 m	0:00:04	25 kph	112° true
Trackpoint	N14.87836 W16.69698	06/12/2014 12:12:49 	29 m			52 m	0:00:06	31 kph	117° true
Trackpoint	N14.87828 W16.69686	06/12/2014 12:12:51 	29 m			15 m	0:00:02	28 kph	122° true
Trackpoint	N14.87788 W16.69580	06/12/2014 12:13:04 	30 m			122 m	0:00:13	34 kph	112° true
Trackpoint	N14.87752 W16.69482	06/12/2014 12:13:16 	32 m			113 m	0:00:12	34 kph	111° true
Trackpoint	N14.87762 W16.69454	06/12/2014 12:13:23 	33 m			33 m	0:00:07	17 kph	68° true
Trackpoint	N14.87789 W16.69445	06/12/2014 12:13:27 	32 m			30 m	0:00:04	27 kph	18° true
Trackpoint	N14.87808 W16.69435	06/12/2014 12:13:30 	32 m			24 m	0:00:03	29 kph	29° true
Trackpoint	N14.87802 W16.69401	06/12/2014 12:13:36 	33 m			37 m	0:00:06	22 kph	100° true
Trackpoint	N14.87808 W16.69367	06/12/2014 12:13:41 	33 m			36 m	0:00:05	26 kph	80° true
Trackpoint	N14.87847 W16.69322	06/12/2014 12:13:46 	33 m			66 m	0:00:05	47 kph	49° true
Trackpoint	N14.87871 W16.69269	06/12/2014 12:13:50 	33 m			63 m	0:00:04	57 kph	65° true
Trackpoint	N14.87898 W16.69191	06/12/2014 12:13:55 	34 m			89 m	0:00:05	64 kph	70° true
Trackpoint	N14.87906 W16.69156	06/12/2014 12:13:57 	35 m			38 m	0:00:02	68 kph	77° true
Trackpoint	N14.87953 W16.69054	06/12/2014 12:14:03 	36 m			122 m	0:00:06	73 kph	65° true
Trackpoint	N14.87961 W16.69004	06/12/2014 12:14:06 	36 m			55 m	0:00:03	65 kph	80° true
Trackpoint	N14.88006 W16.68908	06/12/2014 12:14:12 	35 m			115 m	0:00:06	69 kph	64° true
Trackpoint	N14.88037 W16.68871	06/12/2014 12:14:15 	35 m			52 m	0:00:03	63 kph	50° true
Trackpoint	N14.88060 W16.68809	06/12/2014 12:14:20 	35 m			72 m	0:00:05	51 kph	69° true
Trackpoint	N14.88079 W16.68765	06/12/2014 12:14:25 	35 m			52 m	0:00:05	37 kph	66° true
Trackpoint	N14.88129 W16.68685	06/12/2014 12:14:31 	35 m			102 m	0:00:06	61 kph	57° true
Trackpoint	N14.88154 W16.68635	06/12/2014 12:14:34 	35 m			61 m	0:00:03	73 kph	63° true
Trackpoint	N14.88186 W16.68522	06/12/2014 12:14:41 	34 m			127 m	0:00:07	65 kph	73° true
Trackpoint	N14.88190 W16.68501	06/12/2014 12:14:43 	35 m			23 m	0:00:02	42 kph	79° true
Trackpoint	N14.88214 W16.68483	06/12/2014 12:14:48 	36 m			33 m	0:00:05	24 kph	35° true
Trackpoint	N14.88292 W16.68506	06/12/2014 12:14:55 	34 m			90 m	0:00:07	46 kph	344° true
Trackpoint	N14.88339 W16.68512	06/12/2014 12:14:59 	34 m			54 m	0:00:04	48 kph	353° true
Trackpoint	N14.88474 W16.68530	06/12/2014 12:15:08 	34 m			150 m	0:00:09	60 kph	353° true
Trackpoint	N14.88509 W16.68527	06/12/2014 12:15:11 	33 m			39 m	0:00:03	47 kph	4° true
Trackpoint	N14.88620 W16.68532	06/12/2014 12:15:18 	32 m			124 m	0:00:07	64 kph	358° true
Trackpoint	N14.88670 W16.68522	06/12/2014 12:15:21 	33 m			57 m	0:00:03	68 kph	11° true
Trackpoint	N14.88806 W16.68525	06/12/2014 12:15:28 	31 m			152 m	0:00:07	78 kph	359° true
Trackpoint	N14.88930 W16.68541	06/12/2014 12:15:35 	31 m			138 m	0:00:07	71 kph	353° true
Trackpoint	N14.89045 W16.68561	06/12/2014 12:15:41 	30 m			130 m	0:00:06	78 kph	351° true
Trackpoint	N14.89092 W16.68567	06/12/2014 12:15:44 	30 m			53 m	0:00:03	64 kph	353° true
Trackpoint	N14.89176 W16.68569	06/12/2014 12:15:49 	29 m			93 m	0:00:05	67 kph	359° true
Trackpoint	N14.89202 W16.68536	06/12/2014 12:15:54 	28 m			46 m	0:00:05	33 kph	51° true
Trackpoint	N14.89193 W16.68487	06/12/2014 12:15:58 	29 m			53 m	0:00:04	48 kph	100° true
Trackpoint	N14.89191 W16.68462	06/12/2014 12:16:00 	29 m			27 m	0:00:02	49 kph	97° true
Trackpoint	N14.89190 W16.68443	06/12/2014 12:16:02 	29 m			20 m	0:00:02	36 kph	93° true
Trackpoint	N14.89158 W16.68404	06/12/2014 12:16:07 	30 m			55 m	0:00:05	39 kph	130° true
Trackpoint	N14.89124 W16.68341	06/12/2014 12:16:14 	30 m			78 m	0:00:07	40 kph	119° true
Trackpoint	N14.89135 W16.68308	06/12/2014 12:16:17 	29 m			37 m	0:00:03	45 kph	71° true
Trackpoint	N14.89148 W16.68282	06/12/2014 12:16:19 	30 m			31 m	0:00:02	56 kph	63° true
Trackpoint	N14.89165 W16.68233	06/12/2014 12:16:23 	30 m			56 m	0:00:04	50 kph	70° true
Trackpoint	N14.89156 W16.68197	06/12/2014 12:16:27 	29 m			40 m	0:00:04	36 kph	105° true
Trackpoint	N14.89097 W16.68094	06/12/2014 12:16:34 	30 m			129 m	0:00:07	66 kph	120° true
Trackpoint	N14.89078 W16.68061	06/12/2014 12:16:36 	29 m			41 m	0:00:02	74 kph	121° true
Trackpoint	N14.89033 W16.68041	06/12/2014 12:16:41 	30 m			54 m	0:00:05	39 kph	158° true
Trackpoint	N14.88974 W16.68012	06/12/2014 12:16:47 	31 m			73 m	0:00:06	44 kph	154° true
Trackpoint	N14.88983 W16.67969	06/12/2014 12:16:51 	31 m			48 m	0:00:04	43 kph	78° true
Trackpoint	N14.88985 W16.67955	06/12/2014 12:16:52 	31 m			15 m	0:00:01	54 kph	84° true
Trackpoint	N14.88978 W16.67821	06/12/2014 12:17:00 	34 m			144 m	0:00:08	65 kph	93° true
Trackpoint	N14.88977 W16.67805	06/12/2014 12:17:01 	34 m			18 m	0:00:01	63 kph	94° true
Trackpoint	N14.88953 W16.67687	06/12/2014 12:17:08 	35 m			130 m	0:00:07	67 kph	102° true
